# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    6.172344689    1.846183562    1.846183562    1.653233000
    6.192384770    1.842720982    1.842720982    1.651105380
    6.212424850    1.839277633    1.839277633    1.648985846
    6.232464930    1.835853387    1.835853387    1.646874377
    6.252505010    1.832448117    1.832448117    1.644770947
    6.272545090    1.829061698    1.829061698    1.642675533
    6.292585170    1.825694004    1.825694004    1.640588112
    6.312625251    1.822344911    1.822344911    1.638508659
    6.332665331    1.819014297    1.819014297    1.636437151
    6.352705411    1.815702039    1.815702038    1.634373563
    6.372745491    1.812408014    1.812408014    1.632317871
    6.392785571    1.809132103    1.809132103    1.630270051
    6.412825651    1.805874186    1.805874186    1.628230078
    6.432865731    1.802634144    1.802634144    1.626197929
    6.452905812    1.799411858    1.799411858    1.624173577
    6.472945892    1.796207212    1.796207212    1.622156999
    6.492985972    1.793020089    1.793020089    1.620148170
    6.513026052    1.789850373    1.789850373    1.618147065
    6.533066132    1.786697950    1.786697950    1.616153659
    6.553106212    1.783562706    1.783562706    1.614167926
    6.573146293    1.780444527    1.780444527    1.612189844
    6.593186373    1.777343302    1.777343302    1.610219385
    6.613226453    1.774258918    1.774258918    1.608256524
    6.633266533    1.771191266    1.771191266    1.606301238
    6.653306613    1.768140234    1.768140234    1.604353500
    6.673346693    1.765105715    1.765105715    1.602413284
    6.693386774    1.762087599    1.762087599    1.600480567
    6.713426854    1.759085779    1.759085779    1.598555322
    6.733466934    1.756100148    1.756100148    1.596637524
    6.753507014    1.753130601    1.753130601    1.594727147
    6.773547094    1.750177032    1.750177032    1.592824166
    6.793587174    1.747239336    1.747239336    1.590928555
    6.813627255    1.744317410    1.744317409    1.589040289
    6.833667335    1.741411150    1.741411150    1.587159343
    6.853707415    1.738520455    1.738520455    1.585285690
    6.873747495    1.735645223    1.735645223    1.583419305
    6.893787575    1.732785354    1.732785353    1.581560162
    6.913827655    1.729940746    1.729940746    1.579708236
    6.933867735    1.727111301    1.727111301    1.577863501
    6.953907816    1.724296921    1.724296921    1.576025931
    6.973947896    1.721497506    1.721497506    1.574195502
    6.993987976    1.718712961    1.718712961    1.572372186
    7.014028056    1.715943189    1.715943189    1.570555958
    7.034068136    1.713188093    1.713188093    1.568746793
    7.054108216    1.710447579    1.710447579    1.566944664
